s.OM1,s.OM2,s.REF,index,stat,p.value,taxon,Ecozone
0,0,1,3,0.42923174150593896,0.008,13687ddb761650d34bd377eaf680ad18,IDFBC
1,1,0,4,0.4401048300418805,0.012,c7ce9d1e47043d093f84d3fa61d0b793,IDFBC
0,1,0,2,0.4120370657910391,0.012,54d556f9d3736061ab35f74709b9a434,IDFBC
1,1,0,4,0.40518635510389933,0.013,e5cf5edb1bf9a6e7b1d31e563bc3145e,IDFBC
0,0,1,3,0.5203194950650576,0.002,f52e6252673bbd431c3cbd8a08e7afc5,IDFBC
0,0,1,3,0.45306954514873593,0.006,2af7fa7c8100b8ee5b50b6ca9f2e1dc3,IDFBC
1,1,0,4,0.50111943951887306,0.004,9aa722634ead6626f2afbfb3bc0a4b65,IDFBC
0,1,0,2,0.4196116314022353,0.013,d6bedf4c70e5f139ff32c1ce4ad5e3d0,IDFBC
0,0,1,3,0.33069869161874205,0.023,7a5b3d66fdfb38f86b1a6c1a8e1cc67a,IDFBC
0,0,1,3,0.4065476034597317,0.011,bb6c3eac459a81a9b49bc5fb2faa6a78,IDFBC
0,0,1,3,0.5426316482784715,0.001,fd0eb9ae2791f68a971a8454bf128700,IDFBC
1,0,1,5,0.3350409190167689,0.05,8f3531c30f55292a246ad9548854b8cc,IDFBC
1,0,0,1,0.3804607283147512,0.009,8509361904afffc3af727e3b0506d44f,IDFBC
0,1,0,2,0.3544261256698581,0.025,2fce78dbcc7dcb792fbd1b96c28bc83f,IDFBC
0,0,1,3,0.394626939158785,0.013,09fd5cc4ec077667778ae0dadb6b0522,IDFBC
0,1,0,2,0.32486060626655305,0.044,911ea80ddaf47cc01c9a0c647c24f68e,IDFBC
0,1,0,2,0.34125008707819815,0.029,a9ea51361e48984dc28f1c71b4fda381,IDFBC
0,0,1,3,0.33316291893527655,0.028,466f89439ef6816b130cf0f84e2b6af3,IDFBC
0,0,1,3,0.3896133319601296,0.012,ffd6e74f5fc3fc6d15245a8e796bdc7e,IDFBC
0,1,0,2,0.3579762328712333,0.04,fac7089800e1344ab5c19b0c5386830e,IDFBC
1,1,0,4,0.40268342184936834,0.015,bf09c3b9c70d72a6caecf96591aa9f80,IDFBC
1,1,0,4,0.5867612027785564,0.001,9247badadf55aeb70886089b66de5de2,IDFBC
0,0,1,3,0.2941614951004701,0.048,2f477993d1256816dff8b1c1d8a713f7,IDFBC
0,0,1,3,0.3498699169475198,0.043,ab4f7a61345781f6e5d0c5ceaa3150b2,IDFBC
0,1,0,2,0.35328454436207,0.031,c248c5358b2a1a95e95c5d31d0753229,IDFBC
1,1,0,4,0.44247849711975856,0.01,c540850ed6daf483d3c34720a186d3d8,IDFBC
0,0,1,3,0.3790048364967707,0.027,2c7b978b62c99ba61570e75c75c9f31f,IDFBC
1,0,0,1,0.3118605346950006,0.044,f7189b31c9f5857313d9cce42f20a3a4,IDFBC
0,0,1,3,0.32671144466919627,0.029,fae9c70569c775ba58d41bc6a9c047b7,IDFBC
0,1,0,2,0.4290049292432286,0.006,13bc40ec553a57199418caa03ecc629d,IDFBC
0,0,1,3,0.4856272354923082,0.002,e8b2951037b590f2970a172b5b47cf3f,IDFBC
0,0,1,3,0.4054451457397769,0.011,84a15170e4e35dd078a01d87882294b3,IDFBC
0,0,1,3,0.649600072106139,0.002,7c45db9571a2e0cf90796e9a1859ed65,IDFBC
0,1,1,6,0.3893266622506007,0.016,0ab7986ce11c254945de81f5b1dc77b3,IDFBC
0,1,0,2,0.445442353891112,0.01,0640059d9c6d0dabf011888393426891,IDFBC
0,0,1,3,0.5501729553498743,0.001,d087d56732ce5ae56dbeab9a8c68cef7,IDFBC
0,0,1,3,0.33512992160389965,0.016,8dcef1e2015151b8e7e9933631aeef70,IDFBC
0,0,1,3,0.45138029737333724,0.009,0f526a096e5574d8aa9bcf0b2fcfef0d,IDFBC
0,1,0,2,0.4794917990605396,0.005,1edb77168a7ef66540d14779b036f4fa,IDFBC
1,0,1,5,0.3890693360339304,0.014,2f1d1ed107d9021836e6f9bd21b26af2,IDFBC
0,1,0,2,0.41266149873988694,0.004,79bcd8dca90c83d9e787888529504e0e,IDFBC
1,1,0,4,0.37526964180486394,0.031,daffba39860199a573a617091b0ef56f,IDFBC
1,1,0,4,0.4289175026847001,0.011,234375bbd72f4f10a4165e313fedb8b6,IDFBC
0,0,1,3,0.3533687432595923,0.029,1bdf1ff462d3c893c0cafed2faa8552a,IDFBC
0,0,1,3,0.32838981019035846,0.047,31cee77ed8f681276273f61a8c6c79e5,IDFBC
0,1,0,2,0.39131594349212834,0.048,7cf1c8b187581d0c07bb576dc4ebf792,SBSBC
0,0,1,3,0.5004730260063943,0.01,135229e9a8fbfe5dfcf0801a638f34c8,SBSBC
1,1,0,4,0.4779426611327786,0.022,3700091355386f01c5fea9192d0ea335,SBSBC
0,0,1,3,0.5587070625031902,0.004,71e11e055fcbc0f97e6e108e08eb3902,SBSBC
1,0,0,1,0.42263822081545555,0.035,8cb2e3ee058eda791a882991376549be,SBSBC
0,0,1,3,0.7504763904883915,0.001,e8ccccf364d5438d6951d7779eb100a9,SBSBC
0,0,1,3,0.6181264317769589,0.004,954ecbb889769daaa380696efb5742b8,SBSBC
0,1,0,2,0.41255873256945436,0.04,28b2c1c9518bf2b337f8ac7600118c55,SBSBC
0,0,1,3,0.40509867831171326,0.044,d7ef54db806f0dad084276e902a9b504,SBSBC
1,0,0,1,0.4395351437654207,0.028,7384265d222aa8a0d6e9e214a2fa9b05,SBSBC
1,1,0,4,0.5404009714293572,0.006,9e8ff5c313777bc381e18c4d1ea42509,SBSBC
0,1,1,6,0.47078851229424,0.023,effd18139dc4e36d5ed563bf2eb64944,SBSBC
0,0,1,3,0.48408518833136904,0.012,9a86890d69f93e597be9dedcf14c5271,SBSBC
